site_id,location_name,latitude,longitude,demand_category,coverage_evs,density_per_km2,annual_profit_inr,price_per_kwh_inr,capacity_charging_points,setup_cost_inr,grid_upgrade_cost_inr,total_setup_cost_inr,nearest_grid_id,nearest_grid_name,grid_voltage_kv,grid_available_kw,grid_required_kw,grid_capacity_gap_kw,distance_to_grid_km,grid_capacity_ok,site_type
0,,22.7247866,75.8732867,High,390.28,4.9692,2071962.22,10.07,8,4884974.818178233,125800.0,5010774.818178233,17,,11.0,252.0,400.0,-148.0,1.6522047392911667,False,parking
1,,22.728887018152722,75.80931710951222,Medium,53.15,0.6767,146321.66,10.0,8,5053431.243910521,125800.0,5179231.243910521,27,,11.0,252.0,400.0,-148.0,3.8487247183434117,False,parking
8,,22.6652476,75.7913656,High,230.57,2.9357,1185062.76,10.0,8,5255069.528418855,125800.0,5380869.528418855,14,,11.0,252.0,400.0,-148.0,0.272258115060828,False,parking
11,,22.755861390393488,75.92778346314165,High,1228.34,15.6397,6811566.15,10.22,8,5212052.197494887,125800.0,5337852.197494887,30,,11.0,252.0,400.0,-148.0,1.246959031664604,False,parking
14,,22.7361225,75.8914751,High,572.05,7.2836,3140158.5,10.22,12,7356842.06812451,295800.0,7652642.06812451,28,,11.0,252.0,600.0,-348.0,1.3554397648210696,False,mall
16,,22.6669751,75.8225547,High,941.38,11.986,5023460.54,10.0,12,7474927.328464875,295800.0,7770727.328464875,23,,11.0,252.0,600.0,-348.0,1.171193250366397,False,mall
19,,22.7462037,75.9362383,High,1090.41,13.8835,6039958.23,10.22,12,7543227.5478010215,295800.0,7839027.5478010215,30,,11.0,252.0,600.0,-348.0,2.2314788334254945,False,mall
29,,22.762151576334624,75.92833819537441,High,924.43,11.7702,5111415.97,10.22,16,9546093.572709218,465800.0,10011893.572709218,30,,11.0,252.0,800.0,-548.0,1.6030314470422367,False,mall
35,Pizza Hut,22.7538662,75.897717,High,649.15,8.2652,3571447.47,10.22,6,3795999.576293878,0.0,3795999.576293878,13,Satya Sai Substation,132.0,36000.0,300.0,35700.0,0.47392637859550873,True,restaurant
36,Saifee Hotel,22.7163833,75.8640405,High,306.16,3.8982,1593269.73,10.0,6,3625977.1772254407,40800.0,3666777.1772254407,27,,11.0,252.0,300.0,-48.0,2.266325136179314,False,restaurant
37,Radha sanchi parler,22.6900442,75.8635677,High,195.04,2.4834,993227.27,10.0,4,2816939.112007658,0.0,2816939.112007658,24,,11.0,252.0,200.0,52.0,1.3057105489834555,True,restaurant
