generation,avg_cost,best_cost,avg_coverage,best_coverage,avg_distance,best_distance,avg_sites,min_sites,max_sites,best_sites,avg_wait_min,avg_wait_peak_min,avg_wait_normal_min,unstable_sites_count
0,255491790.20466444,45900656.12488358,284.7662751733416,284.7662751733417,1.064078140457514,0.7728476716189927,53.28333333333333,11,95,11,1.8889263381237136,,,58
1,221842219.93071514,40688820.69069025,284.7662751733416,284.7662751733417,1.1202798335196602,0.7728476716189927,46.13333333333333,10,95,10,1.3591669243043465,,,58
2,232388442.90733063,29130488.24664965,284.7662751733416,284.7662751733417,1.093070497900072,0.7728476716189927,48.766666666666666,7,95,7,,,,60
3,210412625.64451027,29110529.65560101,284.7662751733416,284.7662751733417,1.1543652905661486,0.7707840072311725,44.36666666666667,7,95,7,,,,60
4,202599165.5880505,29110529.65560101,284.7662751733416,284.7662751733417,1.1782379751417473,0.7707840072311725,42.88333333333333,7,95,7,,,,60
5,200200880.817264,29110529.65560101,284.7662751733416,284.7662751733417,1.1680118824078205,0.7513025992276681,42.95,7,95,7,,,,60
6,197959670.75569424,29110529.65560101,284.7662751733416,284.7662751733417,1.1687737078004836,0.7513025992276681,42.81666666666667,7,95,7,,,,60
7,193215074.26150995,29110529.65560101,284.7662751733416,284.7662751733417,1.1591391982407377,0.7513025992276681,42.083333333333336,7,95,7,,,,60
8,192475807.4279698,25391839.135535117,284.7662751733416,284.7662751733417,1.1290783232864383,0.7513025992276681,42.4,7,95,7,,,,60
9,207415680.17455497,22357968.177986186,284.7662751733416,284.7662751733417,1.131105749511216,0.7513025992276681,45.6,6,95,6,,,,60
10,194885006.81997767,22357968.177986186,284.7662751733416,284.7662751733417,1.1500849075988162,0.7162324685412331,42.8,6,103,6,,,,60
11,206174858.45899418,22357968.177986186,284.7662751733416,284.7662751733417,1.1341507946000837,0.7162324685412331,45.266666666666666,6,103,6,,,,60
12,196636221.15623656,22357968.177986186,284.7662751733416,284.7662751733417,1.162903312693588,0.7132718237902375,42.916666666666664,6,103,6,,,,60
13,198231876.40021002,22357968.177986186,284.7662751733416,284.7662751733417,1.1717590365134674,0.7132718237902375,43.78333333333333,6,103,6,,,,60
14,195021284.71285477,22357968.177986186,284.7662751733416,284.7662751733417,1.156455658403632,0.7132718237902375,43.46666666666667,6,103,6,,,,60
15,202776947.01671836,22357968.177986186,284.7662751733416,284.7662751733417,1.1552395747193833,0.7132718237902375,44.53333333333333,6,103,6,,,,60
16,195958604.89647552,22357968.177986186,284.7662751733416,284.7662751733417,1.1539123781824705,0.7132718237902375,43.36666666666667,6,102,6,,,,60
17,210064768.4000443,22357968.177986186,284.7662751733416,284.7662751733417,1.1225233502246204,0.7132718237902375,46.71666666666667,6,102,6,,,,60
18,202261589.2659517,22357968.177986186,284.7662751733416,284.7662751733417,1.133156091099704,0.7132718237902375,45.13333333333333,6,102,6,1.9367658208897776,,,59
19,196341165.519195,22357968.177986186,284.7662751733416,284.7662751733417,1.1309829790000743,0.7132718237902375,43.95,6,102,6,1.9367658208897776,,,59
20,187442387.20050293,22357968.177986186,284.7662751733416,284.7662751733417,1.1526174318086073,0.7132718237902375,42.083333333333336,6,102,6,1.9367658208897776,,,59
21,190816991.38349065,22357968.177986186,284.7662751733416,284.7662751733417,1.166965187267749,0.7132718237902375,42.333333333333336,6,104,6,1.9367658208897776,,,59
22,193594349.2133167,22357968.177986186,284.7662751733416,284.7662751733417,1.151178321358141,0.7132718237902375,43.1,6,104,6,1.9367658208897776,,,59
23,191633123.57451698,22357968.177986186,284.7662751733416,284.7662751733417,1.1488992107962734,0.7070243014735986,42.666666666666664,6,104,6,1.9367658208897776,,,59
24,196066264.23882237,22357968.177986186,284.7662751733416,284.7662751733417,1.1454975876436606,0.7070243014735986,43.55,6,106,6,1.9367658208897776,,,59
25,202635675.63384363,22357968.177986186,284.7662751733416,284.7662751733417,1.1297017234514104,0.7070243014735986,45.18333333333333,6,102,6,2.178420179831313,,,57
26,196580312.2829364,22357968.177986186,284.7662751733416,284.7662751733417,1.1333151901758998,0.706374053413448,44.03333333333333,6,102,6,2.1818773018503603,,,58
27,208697380.85567874,22357968.177986186,284.7662751733416,284.7662751733417,1.1028870211582251,0.706374053413448,46.516666666666666,6,102,6,2.1818773018503603,,,58
28,215442798.5831381,22357968.177986186,284.7662751733416,284.7662751733417,1.0732097061718082,0.706374053413448,48.016666666666666,6,102,6,2.3928437549529558,,,57
29,200703584.75002092,22357968.177986186,284.7662751733416,284.7662751733417,1.1038343967618907,0.706374053413448,45.1,6,103,6,2.358609369154355,,,58
30,198051382.10362533,22357968.177986186,284.7662751733416,284.7662751733417,1.1047904171931018,0.706374053413448,44.266666666666666,6,103,6,2.358609369154355,,,58
31,199118291.83095497,22357968.177986186,284.7662751733416,284.7662751733417,1.1091074644986145,0.7000395892664685,44.38333333333333,6,103,6,4.360055205565023,,,57
32,188446087.4424719,22357968.177986186,284.7662751733416,284.7662751733417,1.1186005285887157,0.695501677248191,42.333333333333336,6,103,6,2.7804529174189323,,,59
33,206815259.07372534,22357968.177986186,284.7662751733416,284.7662751733417,1.0853896055456416,0.695501677248191,46.3,6,103,6,2.7804529174189323,,,59
34,213695659.70700777,22357968.177986186,284.7662751733416,284.7662751733417,1.0771206101122066,0.695501677248191,47.916666666666664,6,104,6,2.7804529174189323,,,59
