site_id,location_name,latitude,longitude,demand_category,coverage_evs,density_per_km2,annual_profit_inr,price_per_kwh_inr,capacity_charging_points,setup_cost_inr,grid_upgrade_cost_inr,total_setup_cost_inr,nearest_grid_id,nearest_grid_name,grid_voltage_kv,grid_available_kw,grid_required_kw,grid_capacity_gap_kw,distance_to_grid_km,grid_capacity_ok,site_type,queue_arrival_rate_per_hour,queue_service_rate_per_charger_per_hour,queue_chargers,queue_station_capacity_K,avg_charging_time_min,avg_wait_time_min,avg_time_in_station_min,queue_Lq,queue_L,queue_P0,queue_P_block,queue_utilization
0,,22.7247866,75.8732867,High,1649.57,21.003,20724599.72,18.0,8,4884974.818178233,125800.0,5010774.818178233,17,,11.0,252.0,400.0,-148.0,1.6522047392911667,False,parking,13.746433389951935,4.0,8,,15.0,0.0892056141407478,15.089205614140747,0.0204376505465924,3.4570459980345762,0.03208238357425247,0.0,0.429576043435998
1,,22.728887018152722,75.80931710951222,High,768.29,9.7821,9620420.87,18.0,4,3053431.2439105217,0.0,3053431.2439105217,27,,11.0,252.0,200.0,52.0,3.8487247183434117,True,parking,6.402397087334299,4.0,4,,15.0,0.5676535645034071,15.567653564503408,0.06057239213319243,1.661171663966767,0.19916750059276125,0.0,0.40014981795839366
5,,22.754172532613605,75.9001305209557,High,1186.53,15.1073,14890224.0,18.0,8,5090316.14452014,0.0,5090316.14452014,13,Satya Sai Substation,132.0,36000.0,400.0,35600.0,0.5650247840128776,True,parking,9.887717887963273,4.0,8,,15.0,0.011459046862399196,15.011459046862397,0.001888397044005899,2.473817869034824,0.08440075262005313,0.0,0.3089911839988523
7,,22.727712264745087,75.80190226750474,High,633.71,8.0687,7924789.14,18.0,8,5089674.186465804,125800.0,5215474.186465804,27,,11.0,252.0,400.0,-148.0,4.481699329645418,False,parking,5.28094712247862,4.0,8,,15.0,0.0001644299366348274,15.000164429936634,1.4472430012017228e-05,1.320251253049667,0.267071583812017,0.0,0.1650295975774569
8,,22.6652476,75.7913656,High,110.87,1.4117,1336979.78,18.0,4,3255069.528418855,0.0,3255069.528418855,14,,11.0,252.0,200.0,52.0,0.272258115060828,True,parking,0.9239287647185946,4.0,4,,15.0,0.00039763333390881986,15.00039763333391,6.123081250155207e-06,0.23098831426089883,0.7937526116632145,0.0,0.057745547794912165
9,,22.665662265491743,75.79145167650783,High,110.42,1.406,1331349.89,18.0,12,7253210.373613333,295800.0,7549010.373613333,14,,11.0,252.0,600.0,-348.0,0.3113394389543771,False,parking,0.9202052876273156,4.0,12,,15.0,4.735580031131076e-17,15.0,7.262842974381906e-19,0.2300513219068289,0.7944928265701721,0.0,0.01917094349223574
10,,22.668223483374458,75.79840527549206,High,258.53,3.2917,3197481.95,18.0,8,5217243.3761313055,125800.0,5343043.3761313055,14,,11.0,252.0,400.0,-148.0,1.0565165615138266,False,parking,2.1544200631056607,4.0,8,,15.0,2.2093810362122754e-07,15.000000220938105,7.9332247191015e-09,0.5386050237096399,0.5835617437291543,0.0,0.0673256269720519
11,,22.755861390393488,75.92778346314165,High,588.52,7.4932,7355311.11,18.0,16,9212052.197494887,465800.0,9677852.197494887,30,,11.0,252.0,800.0,-548.0,1.246959031664604,False,parking,4.90430807242978,4.0,16,,15.0,4.021661698226492e-13,15.000000000000403,3.2872446551989734e-14,1.2260770181074778,0.29344148827469974,0.0,0.07662981363171531
12,,22.728254010989776,75.89889891245673,High,1490.28,18.9748,18717481.35,18.0,12,7016684.796160109,295800.0,7312484.796160109,17,,11.0,252.0,600.0,-348.0,1.7520515565254045,False,parking,12.418973667281874,4.0,12,,15.0,0.0001708255398359933,15.000170825539836,3.535796468204019e-05,3.1047787747851507,0.04483587417159925,0.0,0.2587286180683724
13,,22.761672643473428,75.92835456147007,High,579.02,7.3724,7235709.31,18.0,12,7231237.641720921,295800.0,7527037.641720921,30,,11.0,252.0,600.0,-348.0,1.572605901746322,False,parking,4.825206329326074,4.0,12,,15.0,9.16591090181609e-09,15.00000000916591,7.371235216246976e-10,1.2063015830686419,0.29930217943002246,0.0,0.10052513186095986
